cat_id;name
19279;Adults Contact Hif Ju-Jitsu Men -56 kg
19280;Adults Contact Hif Ju-Jitsu Men -62 kg
19281;Adults Contact Hif Ju-Jitsu Men -69 kg
19282;Adults Contact Hif Ju-Jitsu Men -77 kg
19283;Adults Contact Hif Ju-Jitsu Men -85 kg
19284;Adults Contact Hif Ju-Jitsu Men -94 kg
19278;Adults Contact Hif Ju-Jitsu Men p94 kg
19272;Adults Contact Hif Ju-Jitsu Women -48 kg
19273;Adults Contact Hif Ju-Jitsu Women -48 kg
19274;Adults Contact Hif Ju-Jitsu Women -52 kg
19275;Adults Contact Hif Ju-Jitsu Women -57 kg
19276;Adults Contact Hif Ju-Jitsu Women -63 kg
19277;Adults Contact Hif Ju-Jitsu Women -70 kg
19271;Adults Contact Hif Ju-Jitsu Women p70 kg
470;Adults Contact Ju-Jitsu Men -56 kg
4932;Adults Contact Ju-Jitsu Men -56 kg
471;Adults Contact Ju-Jitsu Men -62 kg
4933;Adults Contact Ju-Jitsu Men -62 kg
472;Adults Contact Ju-Jitsu Men -69 kg
4102;Adults Contact Ju-Jitsu Men -69 kg
473;Adults Contact Ju-Jitsu Men -77 kg
4934;Adults Contact Ju-Jitsu Men -77 kg
474;Adults Contact Ju-Jitsu Men -85 kg
4935;Adults Contact Ju-Jitsu Men -85 kg
475;Adults Contact Ju-Jitsu Men -94 kg
4103;Adults Contact Ju-Jitsu Men -94 kg
476;Adults Contact Ju-Jitsu Men p94 kg
4936;Adults Contact Ju-Jitsu Men p94 kg
4937;Adults Contact Ju-Jitsu Women -45 kg
4938;Adults Contact Ju-Jitsu Women -48 kg
477;Adults Contact Ju-Jitsu Women -49 kg
4939;Adults Contact Ju-Jitsu Women -52 kg
4353;Adults Contact Ju-Jitsu Women -52 kg
478;Adults Contact Ju-Jitsu Women -55 kg
4940;Adults Contact Ju-Jitsu Women -57 kg
4354;Adults Contact Ju-Jitsu Women -57 kg
4355;Adults Contact Ju-Jitsu Women -63 kg
4356;Adults Contact Ju-Jitsu Women -70 kg
479;Adults Contact Ju-Jitsu Women -62 kg
4104;Adults Contact Ju-Jitsu Women -63 kg
480;Adults Contact Ju-Jitsu Women -70 kg
4941;Adults Contact Ju-Jitsu Women -70 kg
481;Adults Contact Ju-Jitsu Women p70 kg
4942;Adults Contact Ju-Jitsu Women p70 kg
1499;Adults Contact Men -56 kg
1500;Adults Contact Men -62 kg
1501;Adults Contact Men -69 kg
1502;Adults Contact Men -77 kg
1503;Adults Contact Men -85 kg
1504;Adults Contact Men -94 kg
1506;Adults Contact Women -45 kg
1508;Adults Contact Women -52 kg
1509;Adults Contact Women -57 kg
2;Adults Duo Men
3;Adults Duo Men
725;Adults Duo Men
1491;Adults Duo Men
6855;Adults Duo Men
5;Adults Duo Mixed
727;Adults Duo Mixed
912;Adults Duo Mixed
1492;Adults Duo Mixed
16742;Adults Duo Mixed
21351;Adults Duo Open
4;Adults Duo Women
723;Adults Duo Women
726;Adults Duo Women
913;Adults Duo Women
1490;Adults Duo Women
6;Adults Fighting Men -56 kg
1444;Adults Fighting Men -56 kg
7;Adults Fighting Men -62 kg
1451;Adults Fighting Men -62 kg
6859;Adults Fighting Men -62 kg
8;Adults Fighting Men -69 kg
1446;Adults Fighting Men -69 kg
14461;Adults Fighting Men -72 kg
9;Adults Fighting Men -77 kg
1447;Adults Fighting Men -77 kg
14481;Adults Fighting Men -82 kg
10;Adults Fighting Men -85 kg
917;Adults Fighting Men -85 kg
1448;Adults Fighting Men -85 kg
14491;Adults Fighting Men -92 kg
11;Adults Fighting Men -94 kg
1449;Adults Fighting Men -94 kg
16743;Adults Fighting Men -94 kg
14501;Adults Fighting Men p92 kg
12;Adults Fighting Men p94 kg
247;Adults Fighting Men p94 kg
1450;Adults Fighting Men p94 kg
1452;Adults Fighting Women -45 kg
1453;Adults Fighting Women -48 kg
13;Adults Fighting Women -49 kg
1454;Adults Fighting Women -52 kg
14;Adults Fighting Women -55 kg
1455;Adults Fighting Women -57 kg
14551;Adults Fighting Women -58 kg
15;Adults Fighting Women -62 kg
1456;Adults Fighting Women -63 kg
14561;Adults Fighting Women -68 kg
16;Adults Fighting Women -70 kg
1457;Adults Fighting Women -70 kg
14562;Adults Fighting Women p68 kg
17;Adults Fighting Women p70 kg
1458;Adults Fighting Women p70 kg
18;Adults Jiu-Jitsu Men -56 kg
656;Adults Jiu-Jitsu Men -56 kg
1473;Adults Jiu-Jitsu Men -56 kg
19;Adults Jiu-Jitsu Men -62 kg
607;Adults Jiu-Jitsu Men -62 kg
657;Adults Jiu-Jitsu Men -62 kg
802;Adults Jiu-Jitsu Men -62 kg
1474;Adults Jiu-Jitsu Men -62 kg
6858;Adults Jiu-Jitsu Men -62 kg
16286;Adults Jiu-Jitsu Men -62 kg
20;Adults Jiu-Jitsu Men -69 kg
71;Adults Jiu-Jitsu Men -69 kg
658;Adults Jiu-Jitsu Men -69 kg
1475;Adults Jiu-Jitsu Men -69 kg
16287;Adults Jiu-Jitsu Men -69 kg
20001;Adults Jiu-Jitsu Men -70 kg
21;Adults Jiu-Jitsu Men -77 kg
72;Adults Jiu-Jitsu Men -77 kg
659;Adults Jiu-Jitsu Men -77 kg
914;Adults Jiu-Jitsu Men -77 kg
1476;Adults Jiu-Jitsu Men -77 kg
22;Adults Jiu-Jitsu Men -85 kg
79;Adults Jiu-Jitsu Men -85 kg
660;Adults Jiu-Jitsu Men -85 kg
1477;Adults Jiu-Jitsu Men -85 kg
23;Adults Jiu-Jitsu Men -94 kg
73;Adults Jiu-Jitsu Men -94 kg
661;Adults Jiu-Jitsu Men -94 kg
1478;Adults Jiu-Jitsu Men -94 kg
5652;Adults Jiu-Jitsu Men Open Weight
5654;Adults Jiu-Jitsu Men Open Weight
16576;Adults Jiu-Jitsu Men Open Weight
20002;Adults Jiu-Jitsu Men p85 kg
24;Adults Jiu-Jitsu Men p94 kg
662;Adults Jiu-Jitsu Men p94 kg
1479;Adults Jiu-Jitsu Men p94 kg
16039;Adults Jiu-Jitsu NoGi Men -56 kg
20147;Adults Jiu-Jitsu NoGi Men -56 kg
16040;Adults Jiu-Jitsu NoGi Men -62 kg
1528;Adults Jiu-Jitsu NoGi Men -62 kg
4340;Adults Jiu-Jitsu NoGi Men -62 kg
16041;Adults Jiu-Jitsu NoGi Men -69 kg
20148;Adults Jiu-Jitsu NoGi Men -69 kg
1529;Adults Jiu-Jitsu NoGi Men -69 kg
16042;Adults Jiu-Jitsu NoGi Men -77 kg
1530;Adults Jiu-Jitsu NoGi Men -77 kg
16043;Adults Jiu-Jitsu NoGi Men -85 kg
1531;Adults Jiu-Jitsu NoGi Men -85 kg
16044;Adults Jiu-Jitsu NoGi Men -94 kg
4338;Adults Jiu-Jitsu NoGi Men -94 kg
16045;Adults Jiu-Jitsu NoGi Men p94 kg
16033;Adults Jiu-Jitsu NoGi Women -45 kg
16034;Adults Jiu-Jitsu NoGi Women -48 kg
20145;Adults Jiu-Jitsu NoGi Women -52 kg
16035;Adults Jiu-Jitsu NoGi Women -52 kg
20146;Adults Jiu-Jitsu NoGi Women -57 kg
4339;Adults Jiu-Jitsu NoGi Women -57 kg
16036;Adults Jiu-Jitsu NoGi Women -57 kg
16037;Adults Jiu-Jitsu NoGi Women -63 kg
16038;Adults Jiu-Jitsu NoGi Women -70 kg
1540;Adults Jiu-Jitsu NoGi Women p70 kg
16032;Adults Jiu-Jitsu NoGi Women p70 kg
565;Adults Jiu-Jitsu Women -45 kg
1480;Adults Jiu-Jitsu Women -45 kg
4150;Adults Jiu-Jitsu Women -45 kg
1481;Adults Jiu-Jitsu Women -48 kg
16288;Adults Jiu-Jitsu Women -48 kg
25;Adults Jiu-Jitsu Women -49 kg
663;Adults Jiu-Jitsu Women -49 kg
1482;Adults Jiu-Jitsu Women -52 kg
26;Adults Jiu-Jitsu Women -55 kg
85;Adults Jiu-Jitsu Women -55 kg
86;Adults Jiu-Jitsu Women -55 kg
87;Adults Jiu-Jitsu Women -55 kg
664;Adults Jiu-Jitsu Women -55 kg
919;Adults Jiu-Jitsu Women -55 kg
1483;Adults Jiu-Jitsu Women -57 kg
20000;Adults Jiu-Jitsu Women -58 kg
27;Adults Jiu-Jitsu Women -62 kg
665;Adults Jiu-Jitsu Women -62 kg
16289;Adults Jiu-Jitsu Women -62 kg
1484;Adults Jiu-Jitsu Women -63 kg
14707;Adults Jiu-Jitsu Women -63 kg
28;Adults Jiu-Jitsu Women -70 kg
666;Adults Jiu-Jitsu Women -70 kg
1485;Adults Jiu-Jitsu Women -70 kg
5653;Adults Jiu-Jitsu Women Open Weight
16575;Adults Jiu-Jitsu Women Open Weight
29;Adults Jiu-Jitsu Women p70 kg
667;Adults Jiu-Jitsu Women p70 kg
1486;Adults Jiu-Jitsu Women p70 kg
18484;Adults Jiu-Jitsu Women p70 kg
1079;Adults Para Duo Mixed
4370;Adults Para Duo Mixed
4951;Adults Para Duo Mixed
1513;Adults Para Jiu-Jitsu Men -56 kg
4359;Adults Para Jiu-Jitsu Men -56 kg
349;Adults Para Jiu-Jitsu Men -62 kg
1514;Adults Para Jiu-Jitsu Men -62 kg
100002;Adults Para Jiu-Jitsu Men -62 kg
1515;Adults Para Jiu-Jitsu Men -69 kg
4350;Adults Para Jiu-Jitsu Men -69 kg
918;Adults Para Jiu-Jitsu Men -77 kg
921;Adults Para Jiu-Jitsu Men -77 kg
1516;Adults Para Jiu-Jitsu Men -77 kg
4351;Adults Para Jiu-Jitsu Men -77 kg
4952;Adults Para Jiu-Jitsu Men -77 kg
